,service_number,direction,operator,category,origin_stop_code,destination_stop_code,AM_peak_interval,AM_offpeak_interval,PM_peak_interval,PM_offpeak_interval,service_description
0,118,1,GAS,TRUNK,65009.0,97009.0,06-08,08-15,10-12,11-15,
1,118,2,GAS,TRUNK,97009.0,65009.0,10,10-12,05-11,10-15,
2,118A,1,GAS,TRUNK,65199.0,96119.0,14-16,-,-,-,
3,118B,1,GAS,TRUNK,96111.0,65191.0,-,-,30,-,
4,119,1,GAS,TRUNK,65009.0,65009.0,16-08,18-12,17-12,15-17,Hougang St 21
5,12,1,GAS,TRUNK,77009.0,10499.0,9,09-14,9-10,11-13,
6,12,2,GAS,TRUNK,10499.0,77009.0,10,08-15,08-14,10-14,
7,12e,1,GAS,EXPRESS,77009.0,10499.0,20-30,30,20-30,20-30,
8,12e,2,GAS,EXPRESS,10499.0,77009.0,20-30,20-30,20-30,20-30,
9,136,1,GAS,TRUNK,54009.0,65009.0,09-13,10-13,10-15,15-19,
10,136,2,GAS,TRUNK,65009.0,54009.0,08-15,11-16,10-11,17-20,
11,15,1,GAS,TRUNK,77009.0,77009.0,04-09,03-13,07-15,13-16,Marine Parade Rd
12,15A,1,GAS,TRUNK,77009.0,83109.0,09-17,110,-,-,Marine Parade Rd
13,17,1,GAS,TRUNK,77009.0,84009.0,8-11,10-12,10-11,11-15,
14,17,2,GAS,TRUNK,84009.0,77009.0,5-11,5-12,5-12,5-12,
15,17A,1,GAS,TRUNK,84009.0,84591.0,04-22,10-46,10-22,22-24,Bedok Nth Dr
16,2,1,GAS,TRUNK,99009.0,10499.0,10,09-16,09-18,14-18,
17,2,2,GAS,TRUNK,10499.0,99009.0,8-12,09-17,9-12,12-18,
18,2A,1,GAS,TRUNK,10499.0,85091.0,18-26,-,17-20,-,
19,3,1,GAS,TRUNK,75009.0,65009.0,7-11,09-14,8-09,12-14,
20,3,2,GAS,TRUNK,65009.0,75009.0,8-10,09-15,9-12,12-17,
21,34,1,GAS,TRUNK,65009.0,65009.0,04-09,05-14,09-13,12-14,PTB2 Basement
22,34A,1,GAS,TRUNK,65009.0,76059.0,18-44,26-39,00-00,00-00,PTB2 Basement
23,34B,1,GAS,TRUNK,75359.0,75351.0,4-09,04-15,09-13,11-14,
24,354,1,GAS,FEEDER,77009.0,77009.0,06-08,07-09,07-08,08-15,Jln Loyang Besar
25,358,1,GAS,TOWNLINK,77009.0,77009.0,05-07,07-08,05-07,05-10,Pasir Ris Dr 4
26,359,1,GAS,TOWNLINK,77009.0,77009.0,05-08,07-10,05-08,05-13,Pasir Ris St 11
27,36,1,GAS,TRUNK,95129.0,95129.0,08,08-11,08-10,08-12,Tomlinson Rd
28,36A,1,GAS,TRUNK,95129.0,9191.0,-,-,-,11-12,Tomlinson Rd
29,36B,1,GAS,TRUNK,93049.0,93199.0,08-08,09-283,09-09,-,Tomlinson Rd
30,381,1,GAS,FEEDER,65009.0,65009.0,10-12,10-12,10-12,10-15,Punggol East
31,382G,1,GAS,FEEDER,65009.0,65009.0,08-10,08-10,08-10,08-12,Sumang Walk
32,382W,1,GAS,FEEDER,65009.0,65009.0,08-10,08-10,08-10,08-12,Sumang Walk
33,386,1,GAS,FEEDER,65009.0,65009.0,07-11,15-10,07-11,15-07,Punggol Ctrl
34,386A,1,GAS,FEEDER,65009.0,65371.0,0-0,0-0,22-40,25-30,
35,3A,1,GAS,TRUNK,75009.0,77331.0,00-00,12-75,8-37,12-124,
36,3B,1,GAS,TRUNK,77289.0,77009.0,15-16,00-00,00-00,00-00,
37,403,1,GAS,TRUNK,77009.0,77009.0,09-13,13-19,14-19,14-15,Pasir Ris Rd
38,43,1,GAS,TRUNK,65009.0,94009.0,09,08-16,13-16,15-16,
39,43,2,GAS,TRUNK,94009.0,65009.0,14,10-17,10-17,13-18,
40,43M,1,GAS,TRUNK,65009.0,65009.0,07-10,08-17,04-15,13-16,S'goon Ctrl
41,518,1,GAS,EXPRESS,77009.0,77009.0,17-20,15-20,15-20,13-20,Bayfront Ave
42,518A,1,GAS,EXPRESS,77009.0,3519.0,30,-,-,-,
43,6,1,GAS,TRUNK,77009.0,77009.0,07-08,07-17,07-08,08,Loyang Cres
44,62,1,GAS,TRUNK,65009.0,65009.0,08-09,17-08,14-08,17-12,Sims Ave
45,62A,1,GAS,TRUNK,65009.0,81089.0,00-00,00-00,28,28,Sims Ave
46,661,1,GAS,EXPRESS,78111.0,3391.0,20,-,-,-,
47,661,2,GAS,EXPRESS,3539.0,78119.0,15,-,-,-,
48,68,1,GAS,TRUNK,77009.0,77009.0,15,15,15,15,Tampines Ctrl 1
49,82,1,GAS,TRUNK,65009.0,65009.0,13-15,15-12,17-12,14-18,S'goon Ctrl
50,83,1,GAS,TRUNK,65009.0,65009.0,10-13,09-14,10-10,12-16,Sengkang Sq
51,84,1,GAS,TRUNK,65009.0,65009.0,10,10,10,10-15,Punggol Rd
52,85,1,GAS,TRUNK,65009.0,59009.0,10-16,10-16,10,11-18,
53,85,2,GAS,TRUNK,59009.0,65009.0,10-15,10-16,10,16-18,
54,85A,1,GAS,TRUNK,59009.0,67441.0,10-14,10-15,9-10,11-18,
55,10,1,SBST,TRUNK,75009.0,16009.0,08-09,06-17,10-15,11-18,
56,10,2,SBST,TRUNK,16009.0,75009.0,10-11,10-16,09-13,12-20,
57,100,1,SBST,TRUNK,66009.0,11009.0,06-12,07-17,06-15,12-24,
58,100,2,SBST,TRUNK,11009.0,66009.0,06-09,06-13,08-13,13-15,
59,100A,1,SBST,TRUNK,66009.0,81089.0,16-36,-,15-26,20-20,
60,101,1,SBST,TRUNK,66009.0,66009.0,08-09,07-13,08-09,08-14,Buangkok Link
61,102,1,SBST,TRUNK,64009.0,64009.0,10-11,10-13,11-12,11-15,Seletar Aerospace Avenue
62,103,1,SBST,TRUNK,66009.0,59009.0,08-11,09-15,10-12,10-15,
63,103,2,SBST,TRUNK,59009.0,66009.0,09-11,09-16,10-10,14-17,
64,105,1,SBST,TRUNK,66009.0,28009.0,08-11,07-15,09-16,11-16,
65,105,2,SBST,TRUNK,28009.0,66009.0,07-15,08-15,09-14,12-14,
66,105B,1,SBST,TRUNK,28009.0,17179.0,14-14,-,-,-,
